date, pm25, pm10, o3, no2, so2, co
2024/4/15, 112, 35, 41, 20, 3, 6
2024/4/16, 99, 20, 34, 15, 3, 5
2024/4/17, 51, 60, 37, 19, 4, 5
2024/4/18, 80, 99, 36, 16, 4, 4
2024/4/19, 101, 48, 48, 12, 3, 6
2024/4/20, 83, 28, 38, 11, 3, 5
2024/4/21, 69, 34, 31, 19, 4, 7
2024/4/22, 84, 35, 36, 18, 3, 6
2024/4/23, 96, 37, 53, 17, 4, 5
2024/4/24, 79, 32, 41, 17, 5, 5
2024/4/25, 45, 42, 38, 12, 4, 5
2024/4/26, 65, 24, 32, 12, 3, 5
2024/4/27, 70, 26, 29, 14, 3, 5
2024/4/28, 59, 31, 33, 13, 3, 6
2024/4/29, 89, 32, 40, 13, 3, 5
2024/4/30, 80, 27, 48, 11, 4, 5
2024/5/1, 77, 31, 40, 14, 4, 4
2024/5/2, 66, 30, 50, 11, 4, 3
2024/5/3, 60, 32, 32, 17, 4, 4
2024/5/4, 75, 24, 31, 12, 3, 6
2024/5/5, 74, 41, 63, 18, 4, 7
2024/5/6, 107, 44, 78, 14, 4, 7
2024/5/7, 110, 33, 47, 15, 4, 6
2024/5/8, 84, 24, 29, 24, 4, 4
2024/5/9, 52, 40, 46, 18, 4, 4
2024/5/10, 58, 49, 26, 17, 3, 5
2024/5/11, 94, 52, 42, 13, 4, 6
2024/5/12, 82, 65, 64, 23, 5, 5
2024/5/13, 80, 40, 88, 21, 5, 3
2024/5/14, 59, 41, 50, 12, 4, 3
2024/5/15, 61, 30, 60, 19, 4, 3
2024/5/16, 54, 35, 78, 16, 4, 3
2024/5/17, 61, 32, 57, 8, 5, 2
2024/5/18, 52, 29, 38, 5, , 2
2024/5/19, 48, 25, 35, 6, 3, 2
2024/5/20, 46, 22, 33, 8, 4, 2
2024/5/21, 49, 34, 42, 12, 5, 2
2024/5/22, 67, 21, 43, 8, 3, 2
2024/5/23, 52, 20, 44, 7, 3, 2
2024/5/24, 52, 20, 31, 6, 3, 2
2024/5/25, 54, 24, 52, 9, 3, 2
2024/5/26, 65, 24, 38, 7, 3, 3
2024/5/27, 56, 19, 49, 13, 4, 3
2024/5/28, 47, 25, 47, 17, 4, 2
